,county,year,area (HA),production (MT),yield (MT/HA),crop
513,Kisii,2016,,,1.31,maize
514,Kisumu,2016,,,0.4,maize
515,Kitui,2016,,,0.08,maize
516,Kwale,2016,,,0.34,maize
517,Laikipia,2016,,,0.17,maize
518,Lamu,2016,,,1.06,maize
519,Machakos,2016,,,0.88,maize
520,Makueni,2016,,,0.55,maize
521,Mandera,2016,780.0,380.0,0.49,maize
522,Marsabit,2016,537.0,282.0,0.53,maize
523,Meru,2016,,,1.12,maize
524,Migori,2016,,,0.93,maize
525,Mombasa,2016,860.0,86.0,0.1,maize
526,Murang'a,2016,,,0.74,maize
527,Nairobi ,2016,954.0,,1.1,maize
528,Nakuru,2016,,,2.36,maize
529,Nandi,2016,,,2.92,maize
530,Narok,2016,,,2.35,maize
531,Nyamira,2016,,,1.33,maize
532,Nyandarua,2016,,,1.26,maize
533,Nyeri,2016,,,0.54,maize
534,Samburu,2016,,,2.13,maize
535,Siaya,2016,,,0.85,maize
536,Taita/Taveta,2016,,,0.58,maize
537,Tana River,2016,,,1.43,maize
538,Tharaka-Nthi,2016,,,0.71,maize
539,Trans Nzoia,2016,,,3.82,maize
540,Turkana,2016,,,1.19,maize
541,Uasin Gishu,2016,,,3.95,maize
542,Vihiga,2016,,,1.41,maize
543,West Pokot,2016,,,2.37,maize
544,Baringo,2012,,,0.4,dry beans
545,Bomet,2012,,,0.6,dry beans
546,Bungoma,2012,,,0.6,dry beans
547,Busia,2012,,,0.5,dry beans
548,Elgeyo Marakwet,2012,,,0.9,dry beans
549,Embu,2012,,,0.6,dry beans
550,Garissa,2012,,,0.0,dry beans
551,Homa Bay,2012,,,0.7,dry beans
552,Isiolo,2012,193.0,74.0,0.4,dry beans
553,Kajiado,2012,,,0.1,dry beans
554,Kakamega,2012,,,0.6,dry beans
555,Kericho,2012,,,0.6,dry beans
556,Kiambu,2012,,,0.8,dry beans
557,Kilifi,2012,170.0,28.0,0.2,dry beans
558,Kirinyaga,2012,,,0.9,dry beans
559,Kisii,2012,,,0.8,dry beans
560,Kisumu,2012,,,0.7,dry beans
561,Kitui,2012,,,0.5,dry beans
562,Kwale,2012,628.0,368.0,0.6,dry beans
563,Laikipia,2012,,,0.7,dry beans
564,Lamu,2012,,347.0,0.3,dry beans
565,Machakos,2012,,,0.5,dry beans
566,Makueni,2012,,,0.5,dry beans
567,Mandera,2012,,,0.0,dry beans
568,Marsabit,2012,50.0,17.0,0.3,dry beans
569,Meru,2012,,,0.7,dry beans
570,Migori,2012,,,0.7,dry beans
571,Mombasa,2012,2.0,1.0,0.3,dry beans
572,Murang'a,2012,,,0.8,dry beans
573,Nairobi,2012,750.0,535.0,0.7,dry beans
574,Nakuru,2012,,,0.6,dry beans
575,Nandi,2012,,,0.6,dry beans
576,Narok,2012,,,0.1,dry beans
577,Nyamira,2012,,,0.8,dry beans
578,Nyandarua,2012,,,0.6,dry beans
579,Nyeri,2012,,,0.7,dry beans
580,Samburu,2012,618.0,323.0,0.5,dry beans
581,Siaya,2012,,,0.6,dry beans
